Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Prepare release version,SCRUM-84,10162,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:43 PM,05/Dec/25 4:44 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000i7:,CTS v 1.0,,,,,10032,SCRUM-19,Documentation and release,To Do,05/Dec/25 4:43 PM
Write installation instructions,SCRUM-83,10160,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:43 PM,05/Dec/25 4:44 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000hz:,CTS v 1.0,,,,,10032,SCRUM-19,Documentation and release,To Do,05/Dec/25 4:43 PM
Add architecture diagram,SCRUM-82,10158,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:43 PM,05/Dec/25 4:44 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000hr:,CTS v 1.0,,,,,10032,SCRUM-19,Documentation and release,To Do,05/Dec/25 4:43 PM
Write README,SCRUM-81,10156,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:43 PM,05/Dec/25 4:44 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000hj:,CTS v 1.0,,,,,10032,SCRUM-19,Documentation and release,To Do,05/Dec/25 4:43 PM
Integration test: full data flow,SCRUM-80,10154,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:42 PM,05/Dec/25 4:42 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000hb:,CTS v 1.0,,,,,10030,SCRUM-18,Testing,To Do,05/Dec/25 4:42 PM
Frontend display tests,SCRUM-79,10152,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:41 PM,05/Dec/25 4:42 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000h3:,CTS v 1.0,,,,,10030,SCRUM-18,Testing,To Do,05/Dec/25 4:41 PM
API endpoint tests,SCRUM-78,10150,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:41 PM,05/Dec/25 4:42 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000gv:,CTS v 1.0,,,,,10030,SCRUM-18,Testing,To Do,05/Dec/25 4:41 PM
Unit tests for collectors,SCRUM-77,10148,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:41 PM,05/Dec/25 4:42 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000gn:,CTS v 1.0,,,,,10030,SCRUM-18,Testing,To Do,05/Dec/25 4:41 PM
Write basic error tests,SCRUM-76,10146,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:40 PM,05/Dec/25 4:41 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000gf:,CTS v 1.0,,,,,10028,SCRUM-17,Implement error handling,To Do,05/Dec/25 4:40 PM
Handle parsing failures,SCRUM-75,10144,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:40 PM,05/Dec/25 4:41 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i000g7:,CTS v 1.0,,,,,10028,SCRUM-17,Implement error handling,To Do,05/Dec/25 4:40 PM
